Trend Block Report    ,,,,,,,,

Block: <Unspecified>,,,,,,,
,         Unresolved Violations,,,                      Waived Violations,,
Date (dd-mm-yyyy),FATAL,ERROR,WARNING,INFO,FATAL,ERROR,WARNING,INFO
22-Apr-2018,0,0,0,3,0,0,0,0
